"Region, country or area", Total (in thousdands) , Male , Female , 0-14 (percentage) , 15-24 , 25-59 , 60+ ,Number under age 14
Turkmenistan," 5,758 "," 2,835 "," 2,923 ", 31 , 17 , 45 , 7 ," 1,784,980 "
Turks and Caicos Islands, 35 ,,,,,,, -   
Tuvalu, 11 ,,,,,,, -   
Uganda," 42,863 "," 21,321 "," 21,542 ", 48 , 20 , 28 , 3 ," 20,574,240 "
Ukraine," 44,223 "," 20,446 "," 23,777 ", 15 , 10 , 51 , 23 ," 6,633,450 "
United Arab Emirates," 9,400 "," 6,806 "," 2,594 ", 14 , 11 , 72 , 2 ," 1,316,000 "
United Kingdom," 66,182 "," 32,655 "," 33,527 ", 18 , 12 , 47 , 24 ," 11,912,760 "
United Republic of Tanzania," 57,310 "," 28,342 "," 28,968 ", 45 , 19 , 31 , 5 ," 25,789,500 "
United States of America," 324,459 "," 160,593 "," 163,866 ", 19 , 14 , 46 , 22 ," 61,647,210 "
United States Virgin Islands, 105 , 50 , 55 , 20 , 13 , 42 , 25 ," 21,000 "
Uruguay," 3,457 "," 1,670 "," 1,787 ", 21 , 15 , 45 , 20 ," 725,970 "
Uzbekistan," 31,911 "," 15,907 "," 16,003 ", 28 , 18 , 46 , 8 ," 8,935,080 "
Vanuatu, 276 , 140 , 136 , 36 , 18 , 39 , 7 ," 99,360 "
Venezuela (Bolivarian Republic of)," 31,977 "," 15,905 "," 16,072 ", 28 , 17 , 45 , 10 ," 8,953,560 "
Viet Nam," 95,541 "," 47,278 "," 48,262 ", 23 , 15 , 50 , 11 ," 21,974,430 "
Wallis and Futuna Islands, 12 ,,,,,,, -   
Western Sahara, 553 , 290 , 263 , 28 , 17 , 49 , 5 ," 154,840 "
Yemen," 28,250 "," 14,271 "," 13,979 ", 40 , 21 , 34 , 5 ," 11,300,000 "
Zambia," 17,094 "," 8,482 "," 8,612 ", 45 , 21 , 31 , 4 ," 7,692,300 "
Zimbabwe," 16,530 "," 8,051 "," 8,479 ", 41 , 20 , 34 , 4 ," 6,777,300 "
,,,,,,,,
,,,,,,,,
