Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
India,IND,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,12849497
Indonesia,IDN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,2588943
Indonesia,IDN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,2687633
"Iran, Islamic Rep.",IRN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,629910
"Iran, Islamic Rep.",IRN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,668551
Iraq,IRQ,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,591749
Iraq,IRQ,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,625472
Ireland,IRL,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,31437
Ireland,IRL,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,33402
Isle of Man,IMN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Isle of Man,IMN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Israel,ISR,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,84031
Israel,ISR,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,88377
Italy,ITA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,229703
Italy,ITA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,244002
Jamaica,JAM,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,19850
Jamaica,JAM,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,21412
Japan,JPN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,503876
Japan,JPN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,531399
Jordan,JOR,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,98907
Jordan,JOR,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,103589
Kazakhstan,KAZ,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,183070
Kazakhstan,KAZ,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,192796
Kenya,KEN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,739601
Kenya,KEN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,753957
Kiribati,KIR,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,1319
Kiribati,KIR,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,1425
"Korea, Dem. People’s Rep.",PRK,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,181793
"Korea, Dem. People’s Rep.",PRK,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,189701
"Korea, Rep.",KOR,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,217935
"Korea, Rep.",KOR,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,235812
Kosovo,XKX,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Kosovo,XKX,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Kuwait,KWT,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,33836
Kuwait,KWT,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,36607
Kyrgyz Republic,KGZ,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,78844
Kyrgyz Republic,KGZ,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,83960
Lao PDR,LAO,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,81656
Lao PDR,LAO,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,85202
Late-demographic dividend,LTE,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Late-demographic dividend,LTE,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Latin America & Caribbean,LCN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Latin America & Caribbean,LCN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Latin America & Caribbean (excluding high income),LAC,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Latin America & Caribbean (excluding high income),LAC,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Latvia,LVA,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,7888
Latvia,LVA,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,8479
Least developed countries: UN classification,LDC,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Least developed countries: UN classification,LDC,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Lebanon,LBN,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,51582
Lebanon,LBN,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,53484
Lesotho,LSO,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,29374
Lesotho,LSO,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,29897
Liberia,LBR,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,72304
Liberia,LBR,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,75444
Libya,LBY,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,57946
Libya,LBY,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,61179
Liechtenstein,LIE,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Liechtenstein,LIE,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Lithuania,LTU,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,15039
Lithuania,LTU,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,16040
Low & middle income,LMY,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
Low & middle income,LMY,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,..
Low income,LIC,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,..
