,iso3,ISO_A3,ISO_N3,name_abbrev,GEOUNIT,NAME_LONG,population,DTP1-16,name,id,lat,lon,amt,amt_refugee
122,SLE,SLE,694.0,S.L.,Sierra Leone,Sierra Leone,3173940.0,97.0,Sierra Leone,694.0,,,134.0,61647210
123,SLE,SLE,694.0,S.L.,Sierra Leone,Sierra Leone,3173940.0,97.0,St. Lucia,662.0,14.017,-60.983,192.25,1139
124,LKA,LKA,144.0,Sri L.,Sri Lanka,Sri Lanka,5010480.0,99.0,Sri Lanka,144.0,,,231.5,138037
125,LSO,LSO,426.0,Les.,Lesotho,Lesotho,781550.0,98.0,Lesotho,426.0,,,122.25,-
126,LTU,LTU,440.0,Lith.,Lithuania,Lithuania,433500.0,97.0,Lithuania,440.0,,,61.0,1803220
127,LUX,LUX,442.0,Lux.,Luxembourg,Luxembourg,93280.0,99.0,Luxembourg,442.0,,,16.75,10738500
128,LVA,LVA,428.0,Lat.,Latvia,Latvia,292500.0,99.0,Latvia,428.0,,,226.0,14410170
129,MAR,MAR,504.0,Mor.,Morocco,Morocco,9649800.0,99.0,Morocco,504.0,,,49.25,4883200
130,MAR,ESH,732.0,W. Sah.,Western Sahara,Western Sahara,9649800.0,99.0,Western Sahara,732.0,,,156.0,117638
131,MCO,MCO,492.0,Mco.,Monaco,Monaco,,99.0,Monaco,492.0,43.733,7.42,178.5,6627660
132,MDA,MDA,498.0,Mda.,Moldova,Moldova,648160.0,94.0,Moldova,498.0,,,174.0,369460
133,MDG,MDG,450.0,Mad.,Madagascar,Madagascar,10484110.0,84.0,Madagascar,450.0,,,49.75,954900
134,MDV,MDV,462.0,Mald.,Maldives,Maldives,100280.0,99.0,Maldives,462.0,3.2,73.22,116.0,-
135,MEX,MEX,484.0,Mex.,Mexico,Mexico,34874010.0,99.0,Mexico,484.0,,,31.5,5725650
136,MHL,MHL,584.0,M. Is.,Marshall Islands,Marshall Islands,,87.0,Marshall Islands,584.0,7.067,171.267,230.25,1975190
137,MKD,MKD,807.0,Mkd.,Macedonia,Macedonia,,97.0,Macedonia,807.0,,,19.0,-
138,MLI,MLI,466.0,Mali,Mali,Mali,8900160.0,86.0,Mali,466.0,,,201.75,1106730
139,MLT,MLT,470.0,Malta,Malta,Malta,60340.0,97.0,Malta,470.0,35.883,14.5,172.5,2970360
140,MMR,MMR,104.0,Myan.,Myanmar,Myanmar,14410170.0,94.0,Myanmar,104.0,,,244.75,34010
141,MNE,MNE,499.0,Mont.,Montenegro,Montenegro,113220.0,97.0,Montenegro,499.0,,,87.25,2951850
