,ISO_A3,ADM0_DIF,LEVEL,ADM0_A3,ADM0_A3_IS,GU_A3,ISO_N3,TYPE,GEOUNIT,ABBREV,NAME,NAME_LONG
104,LIE,0.0,2.0,LIE,LIE,LIE,438,Sovereign country,Liechtenstein,Liech.,Liechtenstein,Liechtenstein
105,LKA,0.0,2.0,LKA,LKA,LKA,144,Sovereign country,Sri Lanka,Sri L.,Sri Lanka,Sri Lanka
106,LSO,0.0,2.0,LSO,LSO,LSO,426,Sovereign country,Lesotho,Les.,Lesotho,Lesotho
107,LTU,0.0,2.0,LTU,LTU,LTU,440,Sovereign country,Lithuania,Lith.,Lithuania,Lithuania
108,LUX,0.0,2.0,LUX,LUX,LUX,442,Sovereign country,Luxembourg,Lux.,Luxembourg,Luxembourg
109,LVA,0.0,2.0,LVA,LVA,LVA,428,Sovereign country,Latvia,Lat.,Latvia,Latvia
110,MAC,1.0,2.0,MAC,MAC,MAC,446,Country,Macao S.A.R,Mac.,Macao,Macao
111,MAR,0.0,2.0,MAR,MAR,MAR,504,Sovereign country,Morocco,Mor.,Morocco,Morocco
112,MCO,0.0,2.0,MCO,MCO,MCO,492,Sovereign country,Monaco,Mco.,Monaco,Monaco
113,MDA,0.0,2.0,MDA,MDA,MDA,498,Sovereign country,Moldova,Mda.,Moldova,Moldova
114,MDG,0.0,2.0,MDG,MDG,MDG,450,Sovereign country,Madagascar,Mad.,Madagascar,Madagascar
115,MDV,0.0,2.0,MDV,MDV,MDV,462,Sovereign country,Maldives,Mald.,Maldives,Maldives
116,MEX,0.0,2.0,MEX,MEX,MEX,484,Sovereign country,Mexico,Mex.,Mexico,Mexico
117,MHL,0.0,2.0,MHL,MHL,MHL,584,Sovereign country,Marshall Islands,M. Is.,Marshall Is.,Marshall Islands
118,MKD,0.0,2.0,MKD,MKD,MKD,807,Sovereign country,Macedonia,Mkd.,Macedonia,Macedonia
119,MLI,0.0,2.0,MLI,MLI,MLI,466,Sovereign country,Mali,Mali,Mali,Mali
120,MLT,0.0,2.0,MLT,MLT,MLT,470,Sovereign country,Malta,Malta,Malta,Malta
121,MMR,0.0,2.0,MMR,MMR,MMR,104,Sovereign country,Myanmar,Myan.,Myanmar,Myanmar
122,MNE,0.0,2.0,MNE,MNE,MNE,499,Sovereign country,Montenegro,Mont.,Montenegro,Montenegro
123,MNG,0.0,2.0,MNG,MNG,MNG,496,Sovereign country,Mongolia,Mong.,Mongolia,Mongolia
124,MOZ,0.0,2.0,MOZ,MOZ,MOZ,508,Sovereign country,Mozambique,Moz.,Mozambique,Mozambique
125,MRT,0.0,2.0,MRT,MRT,MRT,478,Sovereign country,Mauritania,Mrt.,Mauritania,Mauritania
126,MUS,0.0,2.0,MUS,MUS,MUS,480,Sovereign country,Mauritius,Mus.,Mauritius,Mauritius
127,MWI,0.0,2.0,MWI,MWI,MWI,454,Sovereign country,Malawi,Mal.,Malawi,Malawi
128,MYS,0.0,2.0,MYS,MYS,MYS,458,Sovereign country,Malaysia,Malay.,Malaysia,Malaysia
129,NAM,0.0,2.0,NAM,NAM,NAM,516,Sovereign country,Namibia,Nam.,Namibia,Namibia
130,NER,0.0,2.0,NER,NER,NER,562,Sovereign country,Niger,Niger,Niger,Niger
131,NGA,0.0,2.0,NGA,NGA,NGA,566,Sovereign country,Nigeria,Nigeria,Nigeria,Nigeria
132,NIC,0.0,2.0,NIC,NIC,NIC,558,Sovereign country,Nicaragua,Nic.,Nicaragua,Nicaragua
133,NPL,0.0,2.0,NPL,NPL,NPL,524,Sovereign country,Nepal,Nepal,Nepal,Nepal
134,NRU,0.0,2.0,NRU,NRU,NRU,520,Sovereign country,Nauru,Nauru,Nauru,Nauru
135,NZL,1.0,2.0,NZL,NZL,NZL,554,Country,New Zealand,N.Z.,New Zealand,New Zealand
