,unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,economy,millions of US dollars
58,Eastern & Southern Africa,ETH,Ethiopia,DTP1,86.0,86.0,86.0,84.0,82.0,80.0,77.0,74.0,71.0,67.0,64.0,61.0,58.0,55.0,52.0,50.0,47.0,44.0,61.0,78.0,78.0,80.0,80.0,53.0,35.0,45.0,73.0,51.0,39.0,39.0,27.0,25.0,22.0,22.0,21.0,21.0,,Ethiopia,"72,374"
59,East Asia & Pacific,FJI,Fiji,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,97.0,96.0,96.0,95.0,98.0,98.0,98.0,98.0,98.0,99.0,98.0,98.0,98.0,96.0,88.0,87.0,91.0,93.0,84.0,88.0,87.0,Fiji,"4,632"
60,Western Europe,FIN,Finland,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,96.0,96.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,Finland,"236,785"
61,Western Europe,FRA,France,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,98.0,92.0,96.0,98.0,98.0,97.0,96.0,95.0,92.0,92.0,France,"2,465,454"
62,West & Central Africa,GAB,Gabon,DTP1,83.0,87.0,77.0,80.0,86.0,82.0,82.0,81.0,85.0,86.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,72.0,75.0,78.0,81.0,85.0,88.0,92.0,94.0,96.0,96.0,86.0,76.0,66.0,56.0,46.0,36.0,,,,Gabon,"14,214"
63,West & Central Africa,GMB,Gambia,DTP1,99.0,99.0,98.0,99.0,99.0,99.0,99.0,98.0,96.0,98.0,98.0,95.0,96.0,97.0,96.0,97.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,97.0,96.0,98.0,96.0,96.0,95.0,93.0,90.0,91.0,88.0,91.0,87.0,89.0,"Gambia, The",965
64,Eastern Europe & Central Asia,GEO,Georgia,DTP1,97.0,97.0,99.0,99.0,94.0,98.0,99.0,99.0,99.0,99.0,99.0,91.0,88.0,95.0,96.0,97.0,89.0,88.0,87.0,88.0,90.0,91.0,80.0,77.0,80.0,,,,,,,,,,,,,Georgia,"14,333"
65,Western Europe,DEU,Germany,DTP1,95.0,95.0,95.0,95.0,95.0,95.0,95.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,95.0,95.0,95.0,99.0,95.0,95.0,94.0,92.0,90.0,83.0,95.0,93.0,93.0,93.0,93.0,93.0,96.0,93.0,97.0,97.0,98.0,98.0,,Germany,"3,466,757"
66,West & Central Africa,GHA,Ghana,DTP1,94.0,97.0,99.0,94.0,92.0,94.0,96.0,96.0,96.0,96.0,87.0,88.0,88.0,87.0,84.0,81.0,96.0,86.0,87.0,88.0,88.0,88.0,88.0,86.0,83.0,82.0,80.0,75.0,72.0,67.0,60.0,46.0,42.0,47.0,47.0,46.0,27.0,Ghana,"42,690"
67,Western Europe,GRC,Greece,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,77.0,77.0,94.0,94.0,93.0,77.0,82.0,89.0,94.0,98.0,89.0,Greece,"194,559"
68,Latin America & Caribbean,GRD,Grenada,DTP1,98.0,94.0,97.0,99.0,99.0,98.0,99.0,99.0,99.0,98.0,97.0,99.0,87.0,99.0,99.0,98.0,99.0,96.0,99.0,98.0,93.0,98.0,97.0,96.0,96.0,95.0,93.0,95.0,85.0,93.0,98.0,82.0,91.0,87.0,79.0,68.0,50.0,Grenada,"1,016"
69,Latin America & Caribbean,GTM,Guatemala,DTP1,96.0,99.0,89.0,97.0,96.0,94.0,96.0,94.0,99.0,88.0,95.0,97.0,98.0,96.0,93.0,93.0,94.0,91.0,94.0,90.0,86.0,91.0,88.0,91.0,86.0,84.0,86.0,74.0,72.0,39.0,62.0,45.0,72.0,69.0,70.0,67.0,68.0,Guatemala,"68,763"
70,West & Central Africa,GIN,Guinea,DTP1,65.0,63.0,60.0,76.0,76.0,76.0,86.0,76.0,64.0,76.0,75.0,75.0,75.0,71.0,68.0,64.0,61.0,57.0,72.0,72.0,72.0,77.0,77.0,77.0,76.0,61.0,40.0,40.0,39.0,37.0,37.0,37.0,37.0,37.0,37.0,,,Guinea,"6,299"
71,West & Central Africa,GNB,Guinea-Bissau,DTP1,95.0,95.0,95.0,95.0,95.0,95.0,94.0,92.0,91.0,89.0,88.0,86.0,84.0,81.0,79.0,76.0,73.0,69.0,76.0,83.0,77.0,70.0,90.0,89.0,86.0,84.0,82.0,86.0,95.0,87.0,88.0,57.0,57.0,45.0,,,,Guinea-Bissau,"1,126"
72,Latin America & Caribbean,GUY,Guyana,DTP1,97.0,96.0,99.0,98.0,99.0,97.0,99.0,99.0,94.0,96.0,95.0,93.0,97.0,93.0,96.0,98.0,97.0,97.0,97.0,96.0,94.0,95.0,96.0,97.0,92.0,93.0,94.0,91.0,84.0,86.0,84.0,91.0,88.0,79.0,77.0,70.0,60.0,Guyana,"3,446"
73,Latin America & Caribbean,HTI,Haiti,DTP1,78.0,80.0,72.0,86.0,87.0,88.0,87.0,86.0,86.0,85.0,84.0,83.0,81.0,79.0,77.0,75.0,73.0,71.0,69.0,66.0,75.0,75.0,75.0,73.0,72.0,70.0,66.0,74.0,72.0,53.0,48.0,42.0,36.0,29.0,35.0,36.0,21.0,Haiti,"8,023"
74,Latin America & Caribbean,HND,Honduras,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,94.0,95.0,99.0,98.0,97.0,98.0,98.0,98.0,98.0,99.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,94.0,95.0,90.0,80.0,83.0,80.0,66.0,76.0,71.0,59.0,53.0,Honduras,"21,517"
