,unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,economy,millions of US dollars
153,West & Central Africa,SLE,Sierra Leone,DTP1,97.0,95.0,88.0,98.0,98.0,97.0,95.0,94.0,84.0,77.0,79.0,80.0,82.0,90.0,89.0,58.0,64.0,68.0,,,,,,,,,,,,,,,,,,,,Sierra Leone,"3,669"
154,East Asia & Pacific,SGP,Singapore,DTP1,98.0,98.0,98.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,96.0,96.0,96.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,94.0,98.0,95.0,97.0,96.0,97.0,95.0,96.0,96.0,98.0,97.0,92.0,91.0,94.0,94.0,95.0,94.0,Singapore,"296,966"
155,Western Europe,SVK,Slovakia,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,,,,,,,,,,,,Slovak Republic,"89,552"
156,Western Europe,SVN,Slovenia,DTP1,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,98.0,96.0,96.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,,,,,,,,,,,,,Slovenia,"43,991"
157,East Asia & Pacific,SLB,Solomon Islands,DTP1,99.0,99.0,95.0,99.0,99.0,99.0,97.0,94.0,90.0,96.0,99.0,93.0,91.0,86.0,82.0,84.0,95.0,96.0,88.0,89.0,89.0,87.0,87.0,85.0,88.0,91.0,91.0,86.0,87.0,86.0,67.0,63.0,70.0,52.0,47.0,60.0,71.0,Solomon Islands,"1,202"
158,Eastern & Southern Africa,SOM,Somalia,DTP1,52.0,52.0,52.0,52.0,52.0,52.0,55.0,52.0,40.0,59.0,40.0,50.0,50.0,65.0,60.0,57.0,57.0,59.0,51.0,42.0,45.0,46.0,47.0,46.0,45.0,44.0,42.0,41.0,51.0,50.0,40.0,46.0,31.0,24.0,24.0,20.0,,Somalia,"6,217"
159,Eastern & Southern Africa,ZAF,South Africa,DTP1,78.0,83.0,85.0,81.0,72.0,80.0,80.0,81.0,81.0,83.0,82.0,83.0,80.0,77.0,80.0,82.0,85.0,88.0,90.0,93.0,90.0,89.0,90.0,93.0,92.0,93.0,89.0,88.0,88.0,89.0,88.0,91.0,91.0,90.0,,,,South Africa,"294,841"
160,Eastern & Southern Africa,SSD,South Sudan,DTP1,35.0,37.0,49.0,57.0,71.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Sudan,"9,015"
161,Western Europe,ESP,Spain,DTP1,99.0,99.0,99.0,98.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,96.0,96.0,96.0,95.0,94.0,95.0,95.0,97.0,97.0,91.0,96.0,92.0,98.0,,,,,Spain,"1,232,088"
162,South Asia,LKA,Sri Lanka,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,98.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,91.0,91.0,88.0,86.0,84.0,80.0,70.0,71.0,Sri Lanka,"81,322"
163,Middle East & North Africa,PSE,State of Palestine,DTP1,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,95.0,96.0,99.0,98.0,98.0,99.0,98.0,97.0,,,,,,,,,,,,,,West Bank and Gaza,"13,397"
164,Eastern & Southern Africa,SDN,Sudan,DTP1,97.0,97.0,98.0,97.0,97.0,97.0,99.0,92.0,96.0,95.0,91.0,88.0,82.0,83.0,75.0,79.0,75.0,66.0,71.0,78.0,79.0,72.0,71.0,75.0,77.0,83.0,83.0,82.0,65.0,52.0,36.0,28.0,22.0,21.0,20.0,18.0,18.0,Sudan,"95,584"
165,Latin America & Caribbean,SUR,Suriname,DTP1,92.0,90.0,91.0,91.0,94.0,90.0,99.0,91.0,95.0,96.0,94.0,93.0,92.0,81.0,86.0,90.0,90.0,90.0,93.0,95.0,93.0,94.0,90.0,91.0,90.0,91.0,94.0,89.0,84.0,88.0,93.0,94.0,93.0,95.0,82.0,52.0,50.0,Suriname,"3,621"
166,Eastern & Southern Africa,SWZ,Swaziland,DTP1,96.0,96.0,99.0,99.0,97.0,98.0,95.0,95.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,98.0,96.0,97.0,92.0,96.0,96.0,96.0,95.0,90.0,82.0,74.0,68.0,64.0,55.0,,Swaziland,"3,727"
167,Western Europe,SWE,Sweden,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Sweden,"511,000"
168,Western Europe,CHE,Switzerland,DTP1,99.0,99.0,98.0,98.0,98.0,98.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,96.0,96.0,96.0,96.0,96.0,,,,,,,Switzerland,"659,827"
169,Middle East & North Africa,SYR,Syrian Arab Republic,DTP1,61.0,62.0,65.0,55.0,68.0,86.0,89.0,89.0,88.0,88.0,88.0,88.0,89.0,90.0,92.0,90.0,90.0,93.0,94.0,95.0,96.0,96.0,97.0,98.0,95.0,95.0,93.0,99.0,83.0,71.0,90.0,54.0,50.0,45.0,37.0,36.0,35.0,Syrian Arab Republic, .. 
170,Eastern Europe & Central Asia,TJK,Tajikistan,DTP1,98.0,97.0,98.0,98.0,96.0,98.0,95.0,96.0,92.0,88.0,92.0,92.0,93.0,92.0,92.0,89.0,88.0,88.0,87.0,85.0,80.0,86.0,93.0,84.0,89.0,,,,,,,,,,,,,Tajikistan,"6,952"
171,East Asia & Pacific,THA,Thailand,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,99.0,98.0,98.0,97.0,98.0,97.0,96.0,95.0,96.0,97.0,96.0,93.0,91.0,86.0,83.0,77.0,73.0,73.0,76.0,73.0,Thailand,"406,840"
172,Eastern Europe & Central Asia,MKD,The former Yugoslav Republic of Macedonia,DTP1,97.0,98.0,98.0,99.0,98.0,97.0,97.0,96.0,96.0,95.0,95.0,99.0,96.0,99.0,99.0,95.0,98.0,98.0,98.0,98.0,97.0,98.0,96.0,96.0,,,,,,,,,,,,,,"Macedonia, FYR","10,900"
173,East Asia & Pacific,TLS,Timor-Leste,DTP1,95.0,82.0,83.0,88.0,84.0,70.0,76.0,77.0,85.0,76.0,71.0,64.0,65.0,65.0,68.0,,,,,,,,,,,,,,,,,,,,,,,Timor-Leste,"1,442"
174,West & Central Africa,TGO,Togo,DTP1,93.0,92.0,91.0,94.0,94.0,94.0,97.0,93.0,92.0,94.0,91.0,91.0,83.0,83.0,75.0,63.0,80.0,81.0,74.0,67.0,70.0,74.0,77.0,80.0,83.0,87.0,90.0,93.0,84.0,92.0,59.0,48.0,32.0,41.0,36.0,29.0,,Togo,"4,400"
175,East Asia & Pacific,TON,Tonga,DTP1,83.0,86.0,86.0,86.0,81.0,86.0,86.0,87.0,90.0,91.0,92.0,94.0,95.0,96.0,94.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,96.0,98.0,99.0,96.0,97.0,97.0,97.0,99.0,91.0,97.0,75.0,84.0,76.0,62.0,65.0,Tonga,395
176,Latin America & Caribbean,TTO,Trinidad and Tobago,DTP1,97.0,98.0,93.0,94.0,97.0,96.0,96.0,95.0,91.0,90.0,93.0,98.0,98.0,93.0,98.0,91.0,90.0,92.0,94.0,96.0,96.0,96.0,95.0,93.0,95.0,94.0,94.0,91.0,94.0,92.0,88.0,91.0,85.0,82.0,77.0,83.0,51.0,Trinidad and Tobago,"20,989"
177,Middle East & North Africa,TUN,Tunisia,DTP1,99.0,98.0,98.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,96.0,99.0,99.0,99.0,97.0,98.0,98.0,97.0,97.0,97.0,98.0,97.0,97.0,97.0,97.0,94.0,89.0,88.0,86.0,83.0,,,,Tunisia,"42,063"
178,Eastern Europe & Central Asia,TUR,Turkey,DTP1,99.0,98.0,97.0,99.0,97.0,98.0,98.0,97.0,97.0,98.0,92.0,92.0,86.0,76.0,82.0,95.0,92.0,92.0,93.0,92.0,89.0,86.0,95.0,91.0,91.0,89.0,94.0,92.0,95.0,95.0,70.0,78.0,79.0,79.0,80.0,84.0,67.0,Turkey,"857,749"
179,Eastern Europe & Central Asia,TKM,Turkmenistan,DTP1,99.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,98.0,99.0,99.0,99.0,98.0,96.0,99.0,96.0,97.0,99.0,99.0,98.0,98.0,97.0,96.0,90.0,94.0,,,,,,,,,,,,,Turkmenistan,"36,180"
180,East Asia & Pacific,TUV,Tuvalu,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,93.0,84.0,98.0,91.0,98.0,95.0,99.0,94.0,88.0,90.0,99.0,95.0,96.0,81.0,90.0,76.0,62.0,92.0,89.0,73.0,61.0,Tuvalu,34
181,Eastern & Southern Africa,UGA,Uganda,DTP1,89.0,89.0,89.0,89.0,89.0,91.0,87.0,96.0,87.0,93.0,85.0,90.0,88.0,86.0,84.0,82.0,80.0,78.0,79.0,79.0,80.0,81.0,82.0,80.0,77.0,75.0,72.0,70.0,67.0,55.0,45.0,36.0,36.0,36.0,33.0,29.0,,Uganda,"25,528"
182,Eastern Europe & Central Asia,UKR,Ukraine,DTP1,42.0,59.0,59.0,76.0,76.0,50.0,52.0,71.0,90.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,98.0,97.0,96.0,,,,,,,,,,,,,Ukraine,"93,270"
183,Middle East & North Africa,ARE,United Arab Emirates,DTP1,99.0,99.0,99.0,98.0,96.0,95.0,94.0,95.0,96.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,93.0,92.0,91.0,81.0,74.0,68.0,70.0,32.0,United Arab Emirates,"348,743"
184,Western Europe,GBR,United Kingdom of Great Britain and Northern Ireland,DTP1,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,94.0,92.0,91.0,90.0,86.0,85.0,85.0,81.0,77.0,71.0,66.0,United Kingdom,"2,618,886"
185,Eastern & Southern Africa,TZA,United Republic of Tanzania,DTP1,99.0,99.0,99.0,99.0,99.0,96.0,98.0,90.0,88.0,89.0,94.0,95.0,99.0,99.0,96.0,95.0,92.0,90.0,96.0,92.0,94.0,93.0,94.0,94.0,94.0,93.0,92.0,91.0,95.0,92.0,90.0,86.0,80.0,76.0,74.0,78.0,81.0,Tanzania,"47,431"
186,North America,USA,United States of America,DTP1,97.0,97.0,97.0,97.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,98.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,96.0,94.0,95.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,United States,"18,569,100"
187,Latin America & Caribbean,URY,Uruguay,DTP1,97.0,99.0,99.0,98.0,98.0,99.0,98.0,99.0,98.0,98.0,99.0,99.0,98.0,98.0,99.0,99.0,92.0,94.0,95.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,96.0,94.0,95.0,88.0,84.0,83.0,90.0,86.0,80.0,77.0,Uruguay,"52,420"
188,Eastern Europe & Central Asia,UZB,Uzbekistan,DTP1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,96.0,86.0,83.0,94.0,,,,,,,,,,,,,Uzbekistan,"67,220"
189,East Asia & Pacific,VUT,Vanuatu,DTP1,75.0,75.0,75.0,75.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,80.0,82.0,83.0,84.0,85.0,87.0,88.0,89.0,86.0,90.0,90.0,95.0,91.0,94.0,91.0,82.0,80.0,79.0,56.0,55.0,53.0,52.0,46.0,,,Vanuatu,774
190,Latin America & Caribbean,VEN,Venezuela (Bolivarian Republic of),DTP1,98.0,98.0,88.0,90.0,90.0,90.0,90.0,86.0,87.0,70.0,79.0,98.0,93.0,88.0,79.0,82.0,92.0,99.0,90.0,82.0,80.0,87.0,84.0,87.0,86.0,84.0,84.0,80.0,79.0,80.0,80.0,73.0,58.0,80.0,77.0,77.0,79.0,"Venezuela, RB", .. 
191,East Asia & Pacific,VNM,Viet Nam,DTP1,96.0,98.0,95.0,83.0,99.0,97.0,93.0,97.0,97.0,92.0,94.0,98.0,98.0,99.0,85.0,99.0,97.0,97.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,88.0,74.0,68.0,67.0,24.0,22.0,,,,Vietnam,"202,616"
192,Middle East & North Africa,YEM,Yemen,DTP1,76.0,77.0,82.0,82.0,77.0,79.0,84.0,84.0,85.0,88.0,86.0,88.0,89.0,77.0,72.0,87.0,88.0,84.0,75.0,65.0,72.0,69.0,58.0,77.0,74.0,61.0,94.0,79.0,61.0,41.0,35.0,33.0,27.0,24.0,22.0,21.0,18.0,"Yemen, Rep.","27,318"
193,Eastern & Southern Africa,ZMB,Zambia,DTP1,99.0,97.0,96.0,86.0,86.0,87.0,92.0,96.0,95.0,93.0,92.0,92.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,97.0,96.0,95.0,94.0,94.0,97.0,94.0,94.0,94.0,86.0,86.0,81.0,73.0,,,,Zambia,"19,551"
194,Eastern & Southern Africa,ZWE,Zimbabwe,DTP1,94.0,94.0,98.0,98.0,99.0,99.0,95.0,87.0,89.0,86.0,83.0,80.0,77.0,79.0,81.0,83.0,84.0,86.0,88.0,95.0,96.0,96.0,95.0,95.0,95.0,95.0,96.0,95.0,95.0,94.0,91.0,84.0,82.0,77.0,71.0,64.0,,Zimbabwe,"16,289"
195,,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hong Kong SAR, China","320,912"
196,,MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macao SAR, China","44,803"
197,,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isle of Man,"7,428"
198,,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liechtenstein,"6,664"
199,,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kosovo,"6,650"
200,,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guam,"5,734"
201,,VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virgin Islands (U.S.),"3,765"
202,,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greenland,"2,220"
203,,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Mariana Islands,922
204,,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Samoa,641
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba, .. 
210,,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bermuda, .. 
211,,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Virgin Islands, .. 
212,,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands, .. 
213,,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Channel Islands, .. 
214,,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curaçao, .. 
215,,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faroe Islands, .. 
216,,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French Polynesia, .. 
217,,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gibraltar, .. 
218,,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Caledonia, .. 
219,,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puerto Rico, .. 
220,,SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sint Maarten (Dutch part), .. 
221,,MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Martin (French part), .. 
222,,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turks and Caicos Islands, .. 
223,,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,World,"75,641,577"
224,,EAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,"22,477,425"
225,,ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,"20,162,858"
226,,LCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,"5,294,928"
227,,MEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,"3,111,499"
228,,NAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,"20,104,905"
229,,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Asia,"2,896,361"
230,,SSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,"1,498,001"
231,,LIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low income,"405,501"
232,,LMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower middle income,"6,252,244"
233,,UMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper middle income,"20,570,823"
234,,HIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High income,"48,407,640"
