,unicef_region,iso3,country,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,GDP, Total (in thousdands) ,Pop % under 14, 15-24 , 25-59 , 60+ ,Pop # under 14
143,Latin America & Caribbean,KNA,Saint Kitts and Nevis,99.0,96.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,98.0,99.0,97.0,98.0,96.0,97.0,86.0,79.0,917,55,,,,,
144,Latin America & Caribbean,LCA,Saint Lucia,95.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,94.0,99.0,99.0,90.0,99.0,99.0,76.0,96.0,91.0,98.0,96.0,98.0,97.0,98.0,98.0,98.0,96.0,97.0,92.0,95.0,92.0,95.0,94.0,93.0,92.0,84.0,79.0,"1,379",179,19.0,18.0,50,14.0,34010.0
145,Latin America & Caribbean,VCT,Saint Vincent and The Grenadines,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,96.0,95.0,93.0,86.0,57.0,51.0,771,110,24.0,17.0,47,12.0,26400.0
146,East Asia & Pacific,WSM,Samoa,95.0,89.0,88.0,89.0,88.0,91.0,91.0,86.0,48.0,85.0,80.0,87.0,91.0,96.0,99.0,99.0,97.0,97.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,92.0,96.0,86.0,96.0,97.0,97.0,96.0,98.0,96.0,95.0,86.0,54.0,786,196,37.0,20.0,35,8.0,72520.0
147,Western Europe,SMR,San Marino,78.0,77.0,82.0,72.0,98.0,90.0,80.0,95.0,89.0,92.0,98.0,98.0,99.0,98.0,96.0,96.0,97.0,99.0,,99.0,99.0,99.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,, .. ,33,,,,,
148,West & Central Africa,STP,Sao Tome and Principe,97.0,98.0,98.0,99.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,94.0,97.0,89.0,90.0,89.0,90.0,87.0,92.0,94.0,82.0,87.0,95.0,97.0,84.0,91.0,89.0,85.0,72.0,73.0,51.0,59.0,67.0,,351,204,43.0,20.0,33,4.0,87720.0
149,Middle East & North Africa,SAU,Saudi Arabia,98.0,98.0,99.0,98.0,98.0,99.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,97.0,99.0,95.0,94.0,95.0,94.0,97.0,98.0,98.0,97.0,97.0,97.0,97.0,98.0,96.0,96.0,95.0,93.0,91.0,86.0,83.0,77.0,66.0,"646,438","32,938",25.0,15.0,54,6.0,8234500.0
150,West & Central Africa,SEN,Senegal,96.0,94.0,94.0,96.0,96.0,97.0,96.0,94.0,94.0,97.0,99.0,97.0,95.0,81.0,70.0,79.0,79.0,78.0,79.0,81.0,88.0,93.0,80.0,80.0,77.0,75.0,75.0,72.0,81.0,80.0,77.0,,,,,,,"14,765","15,851",43.0,19.0,33,5.0,6815930.0
151,Eastern Europe & Central Asia,SRB,Serbia,97.0,98.0,97.0,98.0,97.0,98.0,97.0,98.0,98.0,98.0,97.0,99.0,91.0,91.0,98.0,95.0,97.0,97.0,97.0,97.0,97.0,96.0,95.0,95.0,94.0,,,,,,,,,,,,,"37,745","8,791",16.0,12.0,47,24.0,1406560.0
152,Eastern & Southern Africa,SYC,Seychelles,98.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,98.0,98.0,98.0,98.0,99.0,98.0,97.0,96.0,97.0,95.0,98.0,98.0,78.0,35.0,,"1,427",95,22.0,12.0,52,13.0,20900.0
153,West & Central Africa,SLE,Sierra Leone,97.0,95.0,88.0,98.0,98.0,97.0,95.0,94.0,84.0,77.0,79.0,80.0,82.0,90.0,89.0,58.0,64.0,68.0,,,,,,,,,,,,,,,,,,,,"3,669","7,557",42.0,20.0,33,4.0,3173940.0
154,East Asia & Pacific,SGP,Singapore,98.0,98.0,98.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,96.0,96.0,96.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,94.0,98.0,95.0,97.0,96.0,97.0,95.0,96.0,96.0,98.0,97.0,92.0,91.0,94.0,94.0,95.0,94.0,"296,966","5,709",15.0,13.0,53,20.0,856350.0
155,Western Europe,SVK,Slovakia,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,,,,,,,,,,,,"89,552","5,448",15.0,11.0,52,22.0,817200.0
156,Western Europe,SVN,Slovenia,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,98.0,96.0,96.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,,,,,,,,,,,,,"43,991","2,080",15.0,9.0,49,26.0,312000.0
157,East Asia & Pacific,SLB,Solomon Islands,99.0,99.0,95.0,99.0,99.0,99.0,97.0,94.0,90.0,96.0,99.0,93.0,91.0,86.0,82.0,84.0,95.0,96.0,88.0,89.0,89.0,87.0,87.0,85.0,88.0,91.0,91.0,86.0,87.0,86.0,67.0,63.0,70.0,52.0,47.0,60.0,71.0,"1,202",611,39.0,20.0,36,5.0,238290.0
158,Eastern & Southern Africa,SOM,Somalia,52.0,52.0,52.0,52.0,52.0,52.0,55.0,52.0,40.0,59.0,40.0,50.0,50.0,65.0,60.0,57.0,57.0,59.0,51.0,42.0,45.0,46.0,47.0,46.0,45.0,44.0,42.0,41.0,51.0,50.0,40.0,46.0,31.0,24.0,24.0,20.0,,"6,217","14,743",46.0,20.0,29,4.0,6781780.0
159,Eastern & Southern Africa,ZAF,South Africa,78.0,83.0,85.0,81.0,72.0,80.0,80.0,81.0,81.0,83.0,82.0,83.0,80.0,77.0,80.0,82.0,85.0,88.0,90.0,93.0,90.0,89.0,90.0,93.0,92.0,93.0,89.0,88.0,88.0,89.0,88.0,91.0,91.0,90.0,,,,"294,841","56,717",29.0,18.0,44,8.0,16447930.0
160,Eastern & Southern Africa,SSD,South Sudan,35.0,37.0,49.0,57.0,71.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,015","12,576",42.0,20.0,33,5.0,5281920.0
161,Western Europe,ESP,Spain,99.0,99.0,99.0,98.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,96.0,96.0,96.0,95.0,94.0,95.0,95.0,97.0,97.0,91.0,96.0,92.0,98.0,,,,,"1,232,088","46,354",15.0,9.0,51,25.0,6953100.0
162,South Asia,LKA,Sri Lanka,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,98.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,91.0,91.0,88.0,86.0,84.0,80.0,70.0,71.0,"81,322","20,877",24.0,15.0,46,15.0,5010480.0
163,Middle East & North Africa,PSE,State of Palestine,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,95.0,96.0,99.0,98.0,98.0,99.0,98.0,97.0,,,,,,,,,,,,,,"13,397","4,921",40.0,21.0,35,5.0,1968400.0
164,Eastern & Southern Africa,SDN,Sudan,97.0,97.0,98.0,97.0,97.0,97.0,99.0,92.0,96.0,95.0,91.0,88.0,82.0,83.0,75.0,79.0,75.0,66.0,71.0,78.0,79.0,72.0,71.0,75.0,77.0,83.0,83.0,82.0,65.0,52.0,36.0,28.0,22.0,21.0,20.0,18.0,18.0,"95,584","40,533",41.0,20.0,33,5.0,16618530.0
165,Latin America & Caribbean,SUR,Suriname,92.0,90.0,91.0,91.0,94.0,90.0,99.0,91.0,95.0,96.0,94.0,93.0,92.0,81.0,86.0,90.0,90.0,90.0,93.0,95.0,93.0,94.0,90.0,91.0,90.0,91.0,94.0,89.0,84.0,88.0,93.0,94.0,93.0,95.0,82.0,52.0,50.0,"3,621",563,26.0,17.0,46,10.0,146380.0
166,Eastern & Southern Africa,SWZ,Swaziland,96.0,96.0,99.0,99.0,97.0,98.0,95.0,95.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,98.0,96.0,97.0,92.0,96.0,96.0,96.0,95.0,90.0,82.0,74.0,68.0,64.0,55.0,,"3,727","1,367",37.0,22.0,36,5.0,505790.0
167,Western Europe,SWE,Sweden,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,"511,000","9,911",18.0,12.0,45,25.0,1783980.0
168,Western Europe,CHE,Switzerland,99.0,99.0,98.0,98.0,98.0,98.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,96.0,96.0,96.0,96.0,96.0,,,,,,,"659,827","8,476",15.0,11.0,50,24.0,1271400.0
169,Middle East & North Africa,SYR,Syrian Arab Republic,61.0,62.0,65.0,55.0,68.0,86.0,89.0,89.0,88.0,88.0,88.0,88.0,89.0,90.0,92.0,90.0,90.0,93.0,94.0,95.0,96.0,96.0,97.0,98.0,95.0,95.0,93.0,99.0,83.0,71.0,90.0,54.0,50.0,45.0,37.0,36.0,35.0, .. ,"18,270",37.0,21.0,36,7.0,6759900.0
170,Eastern Europe & Central Asia,TJK,Tajikistan,98.0,97.0,98.0,98.0,96.0,98.0,95.0,96.0,92.0,88.0,92.0,92.0,93.0,92.0,92.0,89.0,88.0,88.0,87.0,85.0,80.0,86.0,93.0,84.0,89.0,,,,,,,,,,,,,"6,952","8,921",35.0,19.0,40,6.0,3122350.0
171,East Asia & Pacific,THA,Thailand,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,99.0,98.0,98.0,97.0,98.0,97.0,96.0,95.0,96.0,97.0,96.0,93.0,91.0,86.0,83.0,77.0,73.0,73.0,76.0,73.0,"406,840","69,038",17.0,14.0,52,17.0,11736460.0
172,Eastern Europe & Central Asia,MKD,The former Yugoslav Republic of Macedonia,97.0,98.0,98.0,99.0,98.0,97.0,97.0,96.0,96.0,95.0,95.0,99.0,96.0,99.0,99.0,95.0,98.0,98.0,98.0,98.0,97.0,98.0,96.0,96.0,,,,,,,,,,,,,,"10,900","2,083",17.0,13.0,51,19.0,354110.0
173,East Asia & Pacific,TLS,Timor-Leste,95.0,82.0,83.0,88.0,84.0,70.0,76.0,77.0,85.0,76.0,71.0,64.0,65.0,65.0,68.0,,,,,,,,,,,,,,,,,,,,,,,"1,442","1,296",44.0,22.0,29,5.0,570240.0
174,West & Central Africa,TGO,Togo,93.0,92.0,91.0,94.0,94.0,94.0,97.0,93.0,92.0,94.0,91.0,91.0,83.0,83.0,75.0,63.0,80.0,81.0,74.0,67.0,70.0,74.0,77.0,80.0,83.0,87.0,90.0,93.0,84.0,92.0,59.0,48.0,32.0,41.0,36.0,29.0,,"4,400","7,798",42.0,19.0,35,5.0,3275160.0
175,East Asia & Pacific,TON,Tonga,83.0,86.0,86.0,86.0,81.0,86.0,86.0,87.0,90.0,91.0,92.0,94.0,95.0,96.0,94.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,96.0,98.0,99.0,96.0,97.0,97.0,97.0,99.0,91.0,97.0,75.0,84.0,76.0,62.0,65.0,395,108,36.0,20.0,35,8.0,38880.0
176,Latin America & Caribbean,TTO,Trinidad and Tobago,97.0,98.0,93.0,94.0,97.0,96.0,96.0,95.0,91.0,90.0,93.0,98.0,98.0,93.0,98.0,91.0,90.0,92.0,94.0,96.0,96.0,96.0,95.0,93.0,95.0,94.0,94.0,91.0,94.0,92.0,88.0,91.0,85.0,82.0,77.0,83.0,51.0,"20,989","1,369",21.0,13.0,52,15.0,287490.0
177,Middle East & North Africa,TUN,Tunisia,99.0,98.0,98.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,96.0,99.0,99.0,99.0,97.0,98.0,98.0,97.0,97.0,97.0,98.0,97.0,97.0,97.0,97.0,94.0,89.0,88.0,86.0,83.0,,,,"42,063","11,532",24.0,15.0,49,12.0,2767680.0
178,Eastern Europe & Central Asia,TUR,Turkey,99.0,98.0,97.0,99.0,97.0,98.0,98.0,97.0,97.0,98.0,92.0,92.0,86.0,76.0,82.0,95.0,92.0,92.0,93.0,92.0,89.0,86.0,95.0,91.0,91.0,89.0,94.0,92.0,95.0,95.0,70.0,78.0,79.0,79.0,80.0,84.0,67.0,"857,749","80,745",25.0,16.0,47,12.0,20186250.0
179,Eastern Europe & Central Asia,TKM,Turkmenistan,99.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,98.0,99.0,99.0,99.0,98.0,96.0,99.0,96.0,97.0,99.0,99.0,98.0,98.0,97.0,96.0,90.0,94.0,,,,,,,,,,,,,"36,180","5,758",31.0,17.0,45,7.0,1784980.0
180,East Asia & Pacific,TUV,Tuvalu,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,93.0,84.0,98.0,91.0,98.0,95.0,99.0,94.0,88.0,90.0,99.0,95.0,96.0,81.0,90.0,76.0,62.0,92.0,89.0,73.0,61.0,34,11,,,,,
181,Eastern & Southern Africa,UGA,Uganda,89.0,89.0,89.0,89.0,89.0,91.0,87.0,96.0,87.0,93.0,85.0,90.0,88.0,86.0,84.0,82.0,80.0,78.0,79.0,79.0,80.0,81.0,82.0,80.0,77.0,75.0,72.0,70.0,67.0,55.0,45.0,36.0,36.0,36.0,33.0,29.0,,"25,528","42,863",48.0,20.0,28,3.0,20574240.0
182,Eastern Europe & Central Asia,UKR,Ukraine,42.0,59.0,59.0,76.0,76.0,50.0,52.0,71.0,90.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,98.0,97.0,96.0,,,,,,,,,,,,,"93,270","44,223",15.0,10.0,51,23.0,6633450.0
183,Middle East & North Africa,ARE,United Arab Emirates,99.0,99.0,99.0,98.0,96.0,95.0,94.0,95.0,96.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,93.0,92.0,91.0,81.0,74.0,68.0,70.0,32.0,"348,743","9,400",14.0,11.0,72,2.0,1316000.0
184,Western Europe,GBR,United Kingdom of Great Britain and Northern Ireland,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,94.0,92.0,91.0,90.0,86.0,85.0,85.0,81.0,77.0,71.0,66.0,"2,618,886","66,182",18.0,12.0,47,24.0,11912760.0
185,Eastern & Southern Africa,TZA,United Republic of Tanzania,99.0,99.0,99.0,99.0,99.0,96.0,98.0,90.0,88.0,89.0,94.0,95.0,99.0,99.0,96.0,95.0,92.0,90.0,96.0,92.0,94.0,93.0,94.0,94.0,94.0,93.0,92.0,91.0,95.0,92.0,90.0,86.0,80.0,76.0,74.0,78.0,81.0,"47,431","57,310",45.0,19.0,31,5.0,25789500.0
186,North America,USA,United States of America,97.0,97.0,97.0,97.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,98.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,96.0,94.0,95.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,"18,569,100","324,459",19.0,14.0,46,22.0,61647210.0
187,Latin America & Caribbean,URY,Uruguay,97.0,99.0,99.0,98.0,98.0,99.0,98.0,99.0,98.0,98.0,99.0,99.0,98.0,98.0,99.0,99.0,92.0,94.0,95.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,96.0,94.0,95.0,88.0,84.0,83.0,90.0,86.0,80.0,77.0,"52,420","3,457",21.0,15.0,45,20.0,725970.0
188,Eastern Europe & Central Asia,UZB,Uzbekistan,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,96.0,86.0,83.0,94.0,,,,,,,,,,,,,"67,220","31,911",28.0,18.0,46,8.0,8935080.0
189,East Asia & Pacific,VUT,Vanuatu,75.0,75.0,75.0,75.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,80.0,82.0,83.0,84.0,85.0,87.0,88.0,89.0,86.0,90.0,90.0,95.0,91.0,94.0,91.0,82.0,80.0,79.0,56.0,55.0,53.0,52.0,46.0,,,774,276,36.0,18.0,39,7.0,99360.0
190,Latin America & Caribbean,VEN,Venezuela (Bolivarian Republic of),98.0,98.0,88.0,90.0,90.0,90.0,90.0,86.0,87.0,70.0,79.0,98.0,93.0,88.0,79.0,82.0,92.0,99.0,90.0,82.0,80.0,87.0,84.0,87.0,86.0,84.0,84.0,80.0,79.0,80.0,80.0,73.0,58.0,80.0,77.0,77.0,79.0, .. ,"31,977",28.0,17.0,45,10.0,8953560.0
191,East Asia & Pacific,VNM,Viet Nam,96.0,98.0,95.0,83.0,99.0,97.0,93.0,97.0,97.0,92.0,94.0,98.0,98.0,99.0,85.0,99.0,97.0,97.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,88.0,74.0,68.0,67.0,24.0,22.0,,,,"202,616","95,541",23.0,15.0,50,11.0,21974430.0
192,Middle East & North Africa,YEM,Yemen,76.0,77.0,82.0,82.0,77.0,79.0,84.0,84.0,85.0,88.0,86.0,88.0,89.0,77.0,72.0,87.0,88.0,84.0,75.0,65.0,72.0,69.0,58.0,77.0,74.0,61.0,94.0,79.0,61.0,41.0,35.0,33.0,27.0,24.0,22.0,21.0,18.0,"27,318","28,250",40.0,21.0,34,5.0,11300000.0
193,Eastern & Southern Africa,ZMB,Zambia,99.0,97.0,96.0,86.0,86.0,87.0,92.0,96.0,95.0,93.0,92.0,92.0,93.0,93.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,97.0,96.0,95.0,94.0,94.0,97.0,94.0,94.0,94.0,86.0,86.0,81.0,73.0,,,,"19,551","17,094",45.0,21.0,31,4.0,7692300.0
194,Eastern & Southern Africa,ZWE,Zimbabwe,94.0,94.0,98.0,98.0,99.0,99.0,95.0,87.0,89.0,86.0,83.0,80.0,77.0,79.0,81.0,83.0,84.0,86.0,88.0,95.0,96.0,96.0,95.0,95.0,95.0,95.0,96.0,95.0,95.0,94.0,91.0,84.0,82.0,77.0,71.0,64.0,,"16,289","16,530",41.0,20.0,34,4.0,6777300.0
195,,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"320,912",,,,,,
196,,MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,803",,,,,,
197,,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,428",,,,,,
198,,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,664",,,,,,
199,,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,650",,,,,,
200,,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,734",,,,,,
201,,VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,765",,,,,,
202,,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,220",,,,,,
203,,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,,,,,,
204,,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
210,,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
211,,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
212,,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
213,,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
214,,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
215,,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
216,,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
217,,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
218,,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
219,,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
220,,SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
221,,MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
222,,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .. ,,,,,,
223,,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,641,577",,,,,,
224,,EAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,477,425",,,,,,
225,,ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,162,858",,,,,,
226,,LCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,294,928",,,,,,
227,,MEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,111,499",,,,,,
228,,NAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,104,905",,,,,,
229,,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,896,361",,,,,,
230,,SSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,498,001",,,,,,
231,,LIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"405,501",,,,,,
232,,LMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,252,244",,,,,,
233,,UMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,570,823",,,,,,
234,,HIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,407,640",,,,,,
235,,,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,550,262",26.0,16.0,46,13.0,1963068120.0
236,,,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,256,268",41.0,19.0,35,5.0,515069880.0
237,,,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,504,428",24.0,16.0,48,12.0,1081062720.0
238,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"742,074",16.0,11.0,49,25.0,118731840.0
239,,,Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"645,593",25.0,17.0,46,12.0,161398250.0
240,,,Northern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"361,208",19.0,13.0,46,22.0,68629520.0
241,,,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,691",23.0,15.0,45,17.0,9358930.0
242,,,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,
243,,,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
244,,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,18.0,14.0,48,20.0,18900.0
245,,,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,
246,,,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,
247,,,Caribbean Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,
248,,,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,
249,,,Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,15.0,11.0,50,25.0,24750.0
250,,,"China, Hong Kong SAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,365",11.0,10.0,55,23.0,810150.0
251,,,"China, Macao SAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,13.0,11.0,59,16.0,80990.0
252,,,"China, Taiwan Province of China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,626",13.0,13.0,54,20.0,3071380.0
253,,,Cura‡ao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,19.0,13.0,46,23.0,30590.0
254,,,Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,
255,,,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
256,,,French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,33.0,17.0,41,8.0,93390.0
257,,,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,23.0,16.0,48,12.0,65090.0
258,,,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,
259,,,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,
260,,,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,19.0,15.0,43,24.0,85500.0
261,,,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,25.0,17.0,44,14.0,41000.0
262,,,Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
263,,,Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,
