,unicef_region,iso3,country,GDP,2016,1996,1986,Pop % under 14,Pop # under 14
97,Middle East & North Africa,LBY,Libya, .. ,98.0,98.0,94.0,28.0,1785000.0
98,Western Europe,LTU,Lithuania,"42,739",97.0,97.0,,15.0,433500.0
99,Western Europe,LUX,Luxembourg,"59,948",99.0,98.0,95.0,16.0,93280.0
100,Eastern & Southern Africa,MDG,Madagascar,"9,991",84.0,73.0,55.0,41.0,10484110.0
101,Eastern & Southern Africa,MWI,Malawi,"5,442",89.0,96.0,80.0,44.0,8193680.0
102,East Asia & Pacific,MYS,Malaysia,"296,359",99.0,98.0,73.0,24.0,7589760.0
103,South Asia,MDV,Maldives,"3,591",99.0,98.0,67.0,23.0,100280.0
104,West & Central Africa,MLI,Mali,"14,045",86.0,77.0,28.0,48.0,8900160.0
105,Western Europe,MLT,Malta,"10,949",97.0,97.0,95.0,14.0,60340.0
106,East Asia & Pacific,MHL,Marshall Islands,183,87.0,92.0,,,
107,West & Central Africa,MRT,Mauritania,"4,635",87.0,89.0,57.0,40.0,1768000.0
108,Eastern & Southern Africa,MUS,Mauritius,"12,164",97.0,96.0,95.0,18.0,227700.0
109,Latin America & Caribbean,MEX,Mexico,"1,045,998",99.0,98.0,75.0,27.0,34874010.0
110,East Asia & Pacific,FSM,Micronesia (Federated States of ),322,95.0,92.0,,33.0,34980.0
111,Western Europe,MCO,Monaco, .. ,99.0,99.0,,,
112,East Asia & Pacific,MNG,Mongolia,"11,160",99.0,96.0,93.0,30.0,922800.0
113,Eastern Europe & Central Asia,MNE,Montenegro,"4,173",97.0,,,18.0,113220.0
114,Middle East & North Africa,MAR,Morocco,"101,445",99.0,91.0,84.0,27.0,9649800.0
115,Eastern & Southern Africa,MOZ,Mozambique,"11,015",90.0,76.0,57.0,45.0,13351050.0
116,East Asia & Pacific,MMR,Myanmar,"67,430",94.0,96.0,44.0,27.0,14410170.0
117,Eastern & Southern Africa,NAM,Namibia,"10,267",98.0,88.0,,37.0,937580.0
118,East Asia & Pacific,NRU,Nauru,102,98.0,77.0,82.0,,
119,South Asia,NPL,Nepal,"21,144",92.0,85.0,63.0,31.0,9084550.0
120,Western Europe,NLD,Netherlands,"770,845",98.0,98.0,98.0,16.0,2725760.0
