,ISO_A3,ADM0_DIF,LEVEL,ADM0_A3,ADM0_A3_IS,GU_A3,ISO_N3,TYPE,GEOUNIT,ABBREV,NAME,NAME_LONG,ISOA3_GUA3
47,CCK,1.0,3.0,IOA,CCK,CCK,166,Geo unit,Cocos (Keeling) Islands,Cocos Is.,Cocos Is.,Cocos Islands,CCK
48,CHE,0.0,2.0,CHE,CHE,CHE,756,Sovereign country,Switzerland,Switz.,Switzerland,Switzerland,CHE
49,CHL,0.0,2.0,CHL,CHL,CHL,152,Sovereign country,Chile,Chile,Chile,Chile,CHL
50,CHN,1.0,2.0,CHN,CHN,CHN,156,Country,China,China,China,China,CHN
51,CIV,0.0,2.0,CIV,CIV,CIV,384,Sovereign country,Ivory Coast,I.C.,Côte d'Ivoire,Côte d'Ivoire,CIV
52,-99,1.0,2.0,CLP,FRA,CLP,-99,Dependency,Clipperton Island,Clp. I.,Clipperton I.,Clipperton Island,None
53,CMR,0.0,2.0,CMR,CMR,CMR,120,Sovereign country,Cameroon,Cam.,Cameroon,Cameroon,CMR
54,-99,0.0,2.0,CNM,CYP,CNM,-99,Indeterminate,Cyprus No Mans Area,,Cyprus U.N. Buffer Zone,Cyprus U.N. Buffer Zone,CYP
55,COD,0.0,2.0,COD,COD,COD,180,Sovereign country,Democratic Republic of the Congo,D.R.C.,Dem. Rep. Congo,Democratic Republic of the Congo,COD
56,COG,0.0,2.0,COG,COG,COG,178,Sovereign country,Republic of Congo,Rep. Congo,Congo,Republic of Congo,COG
57,COK,1.0,2.0,COK,COK,COK,184,Dependency,Cook Islands,Cook Is.,Cook Is.,Cook Islands,COK
58,COL,0.0,2.0,COL,COL,COL,170,Sovereign country,Colombia,Col.,Colombia,Colombia,COL
59,COM,0.0,2.0,COM,COM,COM,174,Sovereign country,Comoros,Com.,Comoros,Comoros,COM
60,CPV,0.0,2.0,CPV,CPV,CPV,132,Sovereign country,Cape Verde,C.Vd.,Cape Verde,Cape Verde,CPV
61,CRI,0.0,2.0,CRI,CRI,CRI,188,Sovereign country,Costa Rica,C.R.,Costa Rica,Costa Rica,CRI
62,-99,1.0,2.0,CSI,AUS,CSI,-99,Dependency,Coral Sea Islands,C.S.I.,Coral Sea Is.,Coral Sea Islands,None
63,CUB,0.0,2.0,CUB,CUB,CUB,192,Sovereign country,Cuba,Cuba,Cuba,Cuba,CUB
64,CUW,1.0,2.0,CUW,CUW,CUW,531,Country,Curaçao,Cur.,Curaçao,Curaçao,CUW
65,CXR,1.0,3.0,IOA,CXR,CXR,162,Geo unit,Christmas Island,Chris. I.,Christmas I.,Christmas Island,CXR
66,CYM,1.0,2.0,CYM,CYM,CYM,136,Dependency,Cayman Islands,Cym. Is.,Cayman Is.,Cayman Islands,CYM
67,-99,0.0,2.0,CYN,CYP,CYN,-99,Sovereign country,Northern Cyprus,N. Cy.,N. Cyprus,Northern Cyprus,CYP
68,CYP,0.0,2.0,CYP,CYP,CYP,196,Sovereign country,Cyprus,Cyp.,Cyprus,Cyprus,CYP
69,CZE,0.0,2.0,CZE,CZE,CZE,203,Sovereign country,Czech Republic,Cz. Rep.,Czech Rep.,Czech Republic,CZE
70,DEU,0.0,2.0,DEU,DEU,DEU,276,Sovereign country,Germany,Ger.,Germany,Germany,DEU
71,DJI,0.0,2.0,DJI,DJI,DJI,262,Sovereign country,Djibouti,Dji.,Djibouti,Djibouti,DJI
72,DMA,0.0,2.0,DMA,DMA,DMA,212,Sovereign country,Dominica,D'inca,Dominica,Dominica,DMA
73,DNK,1.0,2.0,DNK,DNK,DNK,208,Country,Denmark,Den.,Denmark,Denmark,DNK
74,DOM,0.0,2.0,DOM,DOM,DOM,214,Sovereign country,Dominican Republic,Dom. Rep.,Dominican Rep.,Dominican Republic,DOM
75,-99,1.0,3.0,UMI,DQI,DQI,-99,Geo unit,Jarvis Island,Jar. I.,Jarvis I.,Jarvis Island,DQI
76,DZA,0.0,2.0,DZA,DZA,DZA,12,Sovereign country,Algeria,Alg.,Algeria,Algeria,DZA
77,ECU,0.0,2.0,ECU,ECU,ECU,218,Sovereign country,Ecuador,Ecu.,Ecuador,Ecuador,ECU
78,EGY,0.0,2.0,EGY,EGY,EGY,818,Sovereign country,Egypt,Egypt,Egypt,Egypt,EGY
79,-99,1.0,3.0,GBR,-99,ENG,-99,Geo unit,England,Eng.,England,England,GBR
80,ERI,0.0,2.0,ERI,ERI,ERI,232,Sovereign country,Eritrea,Erit.,Eritrea,Eritrea,ERI
81,-99,1.0,2.0,ESB,GBR,ESB,-99,Dependency,Dhekelia Sovereign Base Area,Dhek.,Dhekelia,Dhekelia,None
82,ESP,0.0,2.0,ESP,ESP,ESP,724,Sovereign country,Spain,Sp.,Spain,Spain,ESP
83,EST,0.0,2.0,EST,EST,EST,233,Sovereign country,Estonia,Est.,Estonia,Estonia,EST
84,ETH,0.0,2.0,ETH,ETH,ETH,231,Sovereign country,Ethiopia,Eth.,Ethiopia,Ethiopia,ETH
85,FIN,1.0,2.0,FIN,FIN,FIN,246,Country,Finland,Fin.,Finland,Finland,FIN
86,FJI,0.0,2.0,FJI,FJI,FJI,242,Sovereign country,Fiji,Fiji,Fiji,Fiji,FJI
87,FLK,1.0,2.0,FLK,FLK,FLK,238,Dependency,Falkland Islands,Flk. Is.,Falkland Is.,Falkland Islands,FLK
88,-99,1.0,3.0,UMI,FQI,FQI,-99,Geo unit,Baker Island,Baker I.,Baker I.,Baker Island,FQI
89,FRO,1.0,2.0,FRO,FRO,FRO,234,Dependency,Faroe Islands,Faeroe Is.,Faeroe Is.,Faeroe Islands,FRO
90,FSM,0.0,2.0,FSM,FSM,FSM,583,Sovereign country,Federated States of Micronesia,F.S.M.,Micronesia,Federated States of Micronesia,FSM
91,FRA,1.0,3.0,FRA,FRA,FXX,249,Geo unit,France,Fr.,France,France,FRA
92,GAB,0.0,2.0,GAB,GAB,GAB,266,Sovereign country,Gabon,Gabon,Gabon,Gabon,GAB
93,-99,1.0,3.0,PSX,PSE,GAZ,275,Geo unit,Gaza,Gaza,Gaza,Gaza,PSE
94,-99,0.0,3.0,GEO,GEO,GEA,-99,Geo unit,Ajaria,Ajaria,Adjara,Adjara,GEO
95,-99,0.0,3.0,GEO,GEO,GEG,-99,Geo unit,Georgia,Geo.,Georgia,Georgia,GEO
96,GGY,1.0,2.0,GGY,GGY,GGY,831,Country,Guernsey,Guern.,Guernsey,Guernsey,GGY
97,GHA,0.0,2.0,GHA,GHA,GHA,288,Sovereign country,Ghana,Ghana,Ghana,Ghana,GHA
98,GIB,1.0,2.0,GIB,GIB,GIB,292,Dependency,Gibraltar,Gib.,Gibraltar,Gibraltar,GIB
99,GIN,0.0,2.0,GIN,GIN,GIN,324,Sovereign country,Guinea,Gin.,Guinea,Guinea,GIN
100,GLP,1.0,3.0,FRA,GLP,GLP,312,Geo unit,Guadeloupe,Guad.,Guadeloupe,Guadeloupe,GLP
101,GMB,0.0,2.0,GMB,GMB,GMB,270,Sovereign country,Gambia,Gambia,Gambia,The Gambia,GMB
102,GNB,0.0,2.0,GNB,GNB,GNB,624,Sovereign country,Guinea Bissau,GnB.,Guinea-Bissau,Guinea-Bissau,GNB
103,GNQ,0.0,2.0,GNQ,GNQ,GNQ,226,Sovereign country,Equatorial Guinea,Eq. G.,Eq. Guinea,Equatorial Guinea,GNQ
104,GRC,0.0,2.0,GRC,GRC,GRC,300,Sovereign country,Greece,Greece,Greece,Greece,GRC
105,GRD,0.0,2.0,GRD,GRD,GRD,308,Sovereign country,Grenada,Gren.,Grenada,Grenada,GRD
106,GRL,1.0,2.0,GRL,GRL,GRL,304,Country,Greenland,Grlnd.,Greenland,Greenland,GRL
