,ADM0_A3_IS,ISO_A3,ISO_N3,ABBREV,GEOUNIT,NAME,NAME_LONG
148,LAO,LAO,418,Laos,Laos,Lao PDR,Lao PDR
149,LBN,LBN,422,Leb.,Lebanon,Lebanon,Lebanon
150,LBR,LBR,430,Liberia,Liberia,Liberia,Liberia
151,LBY,LBY,434,Libya,Libya,Libya,Libya
152,LCA,LCA,662,S.L.,Saint Lucia,Saint Lucia,Saint Lucia
153,LIE,LIE,438,Liech.,Liechtenstein,Liechtenstein,Liechtenstein
154,LKA,LKA,144,Sri L.,Sri Lanka,Sri Lanka,Sri Lanka
155,LQI,-99,-99,Palm. At.,Palmyra Atoll,Palmyra Atoll,Palmyra Atoll
156,LSO,LSO,426,Les.,Lesotho,Lesotho,Lesotho
157,LTU,LTU,440,Lith.,Lithuania,Lithuania,Lithuania
158,LUX,LUX,442,Lux.,Luxembourg,Luxembourg,Luxembourg
159,LVA,LVA,428,Lat.,Latvia,Latvia,Latvia
160,MAC,MAC,446,Mac.,Macao S.A.R,Macao,Macao
161,MAF,MAF,663,St. M.,Saint Martin,St-Martin,Saint-Martin
162,MAR,MAR,504,Mor.,Morocco,Morocco,Morocco
163,MCO,MCO,492,Mco.,Monaco,Monaco,Monaco
164,MDA,MDA,498,Mda.,Moldova,Moldova,Moldova
165,MDG,MDG,450,Mad.,Madagascar,Madagascar,Madagascar
166,MDV,MDV,462,Mald.,Maldives,Maldives,Maldives
167,MEX,MEX,484,Mex.,Mexico,Mexico,Mexico
168,MHL,MHL,584,M. Is.,Marshall Islands,Marshall Is.,Marshall Islands
169,MKD,MKD,807,Mkd.,Macedonia,Macedonia,Macedonia
170,MLI,MLI,466,Mali,Mali,Mali,Mali
171,MLT,MLT,470,Malta,Malta,Malta,Malta
172,MMR,MMR,104,Myan.,Myanmar,Myanmar,Myanmar
173,MNE,MNE,499,Mont.,Montenegro,Montenegro,Montenegro
174,MNG,MNG,496,Mong.,Mongolia,Mongolia,Mongolia
175,MNP,MNP,580,N.M.I.,Northern Mariana Islands,N. Mariana Is.,Northern Mariana Islands
176,MOZ,MOZ,508,Moz.,Mozambique,Mozambique,Mozambique
177,MQI,-99,-99,Mid. Is.,Midway Islands,Midway Is.,Midway Islands
178,MRT,MRT,478,Mrt.,Mauritania,Mauritania,Mauritania
179,MSR,MSR,500,Monts.,Montserrat,Montserrat,Montserrat
180,MTQ,MTQ,474,Mtq.,Martinique,Martinique,Martinique
181,MUS,MUS,480,Mus.,Mauritius,Mauritius,Mauritius
182,MWI,MWI,454,Mal.,Malawi,Malawi,Malawi
183,MYS,MYS,458,Malay.,Malaysia,Malaysia,Malaysia
184,MYT,MYT,175,Myt.,Mayotte,Mayotte,Mayotte
185,NAM,NAM,516,Nam.,Namibia,Namibia,Namibia
186,NCL,NCL,540,New C.,New Caledonia,New Caledonia,New Caledonia
187,NER,NER,562,Niger,Niger,Niger,Niger
188,NFK,NFK,574,Nfk. I.,Norfolk Island,Norfolk Island,Norfolk Island
189,NGA,NGA,566,Nigeria,Nigeria,Nigeria,Nigeria
190,NIC,NIC,558,Nic.,Nicaragua,Nicaragua,Nicaragua
191,-99,-99,-99,N.Ire.,Northern Ireland,N. Ireland,Northern Ireland
192,NIU,NIU,570,Niue,Niue,Niue,Niue
193,SJM,-99,-99,J.M.,Jan Mayen,Jan Mayen I.,Jan Mayen Island
194,NLD,-99,-99,Neth.,Netherlands,Netherlands,Netherlands
195,BES,BES,535,BES Is.,Caribbean Netherlands,Caribbean Netherlands,Caribbean Netherlands
196,NOR,NOR,578,Nor.,Norway,Norway,Norway
197,NPL,NPL,524,Nepal,Nepal,Nepal,Nepal
198,NRU,NRU,520,Nauru,Nauru,Nauru,Nauru
199,SJM,SJM,-99,Sval.,Svalbard,Svalbard Is.,Svalbard Islands
200,NZL,NZL,554,N.Z.,New Zealand,New Zealand,New Zealand
201,OMN,OMN,512,Oman,Oman,Oman,Oman
202,PAK,PAK,586,Pak.,Pakistan,Pakistan,Pakistan
203,PAN,PAN,591,Pan.,Panama,Panama,Panama
204,-99,-99,-99,Az.,Azores,Azores,Azores
205,PCN,PCN,612,Pit. Is.,Pitcairn Islands,Pitcairn Is.,Pitcairn Islands
206,PER,PER,604,Peru,Peru,Peru,Peru
207,-99,-99,-99,Par. Is.,Paracel Islands,Paracel Is.,Paracel Islands
208,-99,-99,-99,Spratly Is.,Spratly Islands,Spratly Is.,Spratly Islands
209,PHL,PHL,608,Phil.,Philippines,Philippines,Philippines
210,PLW,PLW,585,Palau,Palau,Palau,Palau
211,-99,-99,-99,Mad.,Madeira,Madeira,Madeira
212,PNG,-99,-99,Boug.,Bougainville,Bougainville,Bougainville
213,PNG,-99,-99,P.N.G.,Papua New Guinea,Papua New Guinea,Papua New Guinea
