unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Middle East & North Africa,EGY,Egypt,Hib3,95,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SLV,El Salvador,Hib3,93,91,93,92,92,89,89,91,98,99,96,89,90,94,81,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNQ,Equatorial Guinea,Hib3,19,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ERI,Eritrea,Hib3,95,95,94,94,94,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,EST,Estonia,Hib3,93,93,93,94,94,93,94,95,95,95,88,37,27,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ETH,Ethiopia,Hib3,77,77,77,72,69,65,62,56,52,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FJI,Fiji,Hib3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,,,,,,,,,,,,,,,,,
Western Europe,FIN,Finland,Hib3,92,97,98,98,99,99,99,98,98,97,98,98,96,96,96,96,96,96,96,96,96,94,93,97,97,,,,,,,,,,,,
Western Europe,FRA,France,Hib3,96,97,98,98,98,98,97,97,97,97,97,97,97,87,87,86,86,85,79,,,,,,,,,,,,,,,,,,
West & Central Africa,GAB,Gabon,Hib3,75,80,70,79,82,75,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GMB,Gambia,Hib3,95,97,96,97,98,96,97,99,97,94,95,95,93,91,89,87,90,94,97,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,GEO,Georgia,Hib3,92,87,91,96,92,94,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DEU,Germany,Hib3,93,93,93,93,93,93,93,94,94,94,93,94,94,93,94,94,94,92,90,88,88,85,82,80,74,60,,,,,,,,,,,
West & Central Africa,GHA,Ghana,Hib3,93,88,98,90,92,91,94,94,93,94,84,84,80,80,80,,,,,,,,,,,,,,,,,,,,,,
Western Europe,GRC,Greece,Hib3,99,99,99,94,94,83,83,83,83,83,84,84,85,86,86,87,87,88,71,54,36,19,2,,,,,,,,,,,,,,
Latin America & Caribbean,GRD,Grenada,Hib3,96,92,97,97,97,95,97,99,99,96,91,99,83,97,98,96,33,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GTM,Guatemala,Hib3,80,74,73,85,96,85,94,92,95,85,89,87,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GIN,Guinea,Hib3,57,54,51,63,62,63,64,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNB,Guinea-Bissau,Hib3,87,87,87,87,87,86,83,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GUY,Guyana,Hib3,97,95,98,98,97,93,95,98,93,94,93,93,91,90,91,85,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HTI,Haiti,Hib3,58,60,48,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HND,Honduras,Hib3,97,97,97,97,97,97,97,97,92,93,94,97,93,91,94,95,93,,,,,,,,,,,,,,,,,,,,
Western Europe,HUN,Hungary,Hib3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
Western Europe,ISL,Iceland,Hib3,91,92,90,91,89,95,96,96,98,97,97,95,99,97,95,92,98,98,99,99,99,99,99,99,99,99,,,,,,,,,,,
South Asia,IND,India,Hib3,80,45,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,IDN,Indonesia,Hib3,79,78,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRN,Iran (Islamic Republic of),Hib3,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRQ,Iraq,Hib3,63,58,64,68,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,IRL,Ireland,Hib3,95,95,96,95,95,95,94,93,93,92,91,90,89,86,83,84,85,86,84,76,,,,,,,,,,,,,,,,,
Middle East & North Africa,ISR,Israel,Hib3,94,95,95,96,94,94,95,96,94,95,94,93,95,93,91,94,93,93,94,92,92,93,92,,,,,,,,,,,,,,
Western Europe,ITA,Italy,Hib3,93,93,94,95,96,96,95,96,96,96,96,95,94,90,83,70,55,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,JAM,Jamaica,Hib3,99,91,92,93,96,91,94,90,91,91,97,99,98,35,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,JPN,Japan,Hib3,99,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,JOR,Jordan,Hib3,98,99,98,98,98,98,98,98,97,98,98,95,95,97,95,59,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KAZ,Kazakhstan,Hib3,82,98,95,98,97,95,96,97,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,KEN,Kenya,Hib3,89,89,92,93,94,96,90,88,88,81,80,76,73,73,84,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KIR,Kiribati,Hib3,81,82,75,95,94,95,91,86,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,KWT,Kuwait,Hib3,99,99,95,99,98,99,98,99,99,99,99,99,98,99,99,99,98,94,94,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KGZ,Kyrgyzstan,Hib3,96,97,96,97,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,LAO,Lao People’s Democratic Republic,Hib3,82,89,88,87,79,78,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LVA,Latvia,Hib3,98,94,92,94,90,91,90,94,94,94,96,99,98,96,87,84,79,76,47,67,35,58,10,,,,,,,,,,,,,,
Middle East & North Africa,LBN,Lebanon,Hib3,81,81,81,81,81,81,81,81,81,80,78,77,75,74,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,LSO,Lesotho,Hib3,93,93,93,93,95,96,94,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,LBR,Liberia,Hib3,79,52,50,76,80,77,47,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBY,Libya,Hib3,97,97,94,96,98,98,98,98,98,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LTU,Lithuania,Hib3,94,93,93,93,93,92,95,98,96,95,94,61,35,10,5,4,2,2,,,,,,,,,,,,,,,,,,,
Western Europe,LUX,Luxembourg,Hib3,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,96,93,91,88,86,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MDG,Madagascar,Hib3,77,69,73,74,70,73,71,77,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MWI,Malawi,Hib3,84,88,91,89,96,97,93,93,91,87,99,93,89,84,64,,,,,,,,,,,,,,,,,,,,,,
