unicef_region,iso3,country,vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Eastern & Southern Africa,ETH,Ethiopia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FJI,Fiji,HepB_BD,90,90,90,90,90,90,90,90,90,90,90,90,86,96,95,99,,,,,,,,,,,,,,,,,,,,,
Western Europe,FIN,Finland,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,FRA,France,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GAB,Gabon,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GMB,Gambia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,GEO,Georgia,HepB_BD,94,93,95,80,92,93,95,73,99,99,97,93,92,90,80,69,,,,,,,,,,,,,,,,,,,,,
Western Europe,DEU,Germany,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GHA,Ghana,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,GRC,Greece,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GRD,Grenada,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GTM,Guatemala,HepB_BD,38,32,22,32,35,31,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GIN,Guinea,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNB,Guinea-Bissau,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GUY,Guyana,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HTI,Haiti,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HND,Honduras,HepB_BD,80,80,79,79,78,77,78,72,61,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,HUN,Hungary,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ISL,Iceland,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,IND,India,HepB_BD,47,44,41,37,23,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,IDN,Indonesia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRN,Iran (Islamic Republic of),HepB_BD,95,96,97,99,96,99,99,99,99,99,99,96,99,99,99,94,99,,,,,,,,,,,,,,,,,,,,
